review_item_id,review_priority,review_focus,local_image_path,scientific_name,common_name_en,evidence_type,policy_status,recommended_uses,borderline_uses,blocked_uses,visible_field_marks,limitations,reviewer_overall_judgment,reviewer_notes,reviewer_name,reviewed_at
pmp-policy-review-0149,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/150309125.jpeg,Anas platyrhynchos,Mallard,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,whole_body:downy juvenile plumage | whole_body:duckling body shape,juvenile plumage is less distinctive than adult plumage,,,,
pmp-policy-review-0326,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/29903211.jpeg,Larus argentatus,European Herring Gull,whole_organism,profile_valid,field_observation|species_card,basic_identification|confusion_learning|morphology_learning,,whole_body:mottled plumage,subject is distant | limited resolution for fine detail | distant view | subject too small for definitive diagnostic feature assessment,,,,
pmp-policy-review-0332,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/30207516.jpeg,Fulica atra,Eurasian Coot,whole_organism,profile_valid,,basic_identification|field_observation|confusion_learning|morphology_learning,species_card,head:white frontal shield and bill against dark body,Subject is heavily obscured by branches | The image quality limits fine feature identification | Heavy obstruction by thorny vegetation | long distance | low image resolution,,,,
pmp-policy-review-0008,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/103442341.jpeg,Ardea cinerea,Grey Heron,whole_organism,profile_valid,field_observation,basic_identification|confusion_learning|morphology_learning|species_card,,neck:long neck and posture,Subject is quite small in the frame and distant | subject is distant | subject is partially obscured by vegetation,,,,
pmp-policy-review-0123,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/134613679.jpeg,Anas platyrhynchos,Mallard,multiple_organisms,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,head:green head | beak:yellow bill,,,,,
pmp-policy-review-0299,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/276197985.jpg,Motacilla alba,White Wagtail,whole_organism,profile_valid,confusion_learning,basic_identification|field_observation|morphology_learning|species_card,,whole_body:black and white plumage pattern,low resolution | distant subject | image resolution is low | bird is distant,,,,
pmp-policy-review-0176,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/168655956.jpeg,Cygnus olor,Mute Swan,multiple_organisms,profile_valid,field_observation,confusion_learning|morphology_learning|indirect_evidence_learning,basic_identification|species_card,neck:long white necks | beak:orange bills,"multiple avian species in frame complicate subject identification focus | multiple species present in scene, focus on Cygnus olor",,,,
pmp-policy-review-0219,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/204513050.jpg,Hirundo rustica,Barn Swallow,nest,profile_valid,field_observation|indirect_evidence_learning,,basic_identification|confusion_learning|morphology_learning|species_card,nest:mud and straw construction typical of swallows,nest only; no live organism visible | indirect evidence: nest identification assumes typical Hirundo rustica structure,,,,
pmp-policy-review-0188,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/178993834.jpeg,Phalacrocorax carbo,Great Cormorant,whole_organism,profile_valid,field_observation,confusion_learning|morphology_learning|species_card,basic_identification,whole_body:silhouette and posture,"distant, silhouette-only identification | subject is a distant silhouette",,,,
pmp-policy-review-0106,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/129884140.jpeg,Sturnus vulgaris,European Starling,whole_organism,profile_valid,field_observation,confusion_learning|morphology_learning|species_card,basic_identification,whole_body:silhouette and posture,Distant subject provides poor detail for positive identification | subject is distant | subject shown as silhouette only,,,,
pmp-policy-review-0097,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/12710696.jpg,Cyanistes caeruleus,Eurasian Blue Tit,multiple_organisms,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,whole_body:long tail and black-white pattern,,,,,
pmp-policy-review-0398,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/402891504.png,Strix aluco,Tawny Owl,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,back:mottled brown plumage | head:round head shape,,,,,
pmp-policy-review-0394,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/396591721.jpg,Egretta garzetta,Little Egret,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|species_card,morphology_learning,,whole_body:all white plumage | beak:slender dark bill,distant view limits detail on legs and bill | subject is distant,,,,
pmp-policy-review-0235,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/235724727.jpeg,Motacilla alba,White Wagtail,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,breast:distinctive black bib | head:black and white facial pattern | back:grey back,,,,,
pmp-policy-review-0194,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/181534756.jpeg,Ardea cinerea,Grey Heron,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,whole_body:grey plumage | beak:long sharp bill | neck:long slender neck,,,,,
pmp-policy-review-0376,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/368841977.jpg,Riparia riparia,Bank Swallow,multiple_organisms,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,back:dark upperparts | belly:white underparts,,,,,
pmp-policy-review-0029,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/109294501.jpeg,Turdus merula,Eurasian Blackbird,whole_organism,profile_valid,,field_observation|confusion_learning|morphology_learning,basic_identification|species_card,whole_body:silhouette,subject is a dark silhouette obscured by complex vegetation | subject heavily occluded by branches and low lighting,,,,
pmp-policy-review-0251,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/250224759.jpg,Fringilla coelebs,Common Chaffinch,whole_organism,profile_valid,,field_observation|confusion_learning|morphology_learning,basic_identification|species_card,wing:white wing bar,"Subject is distant and lacks sufficient detail for definitive species-level identification | Subject is small, distant, and poorly focused | Key diagnostic features (head markings) are obscured",,,,
pmp-policy-review-0242,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/237495251.jpg,Sturnus vulgaris,European Starling,multiple_organisms,profile_valid,field_observation,confusion_learning|morphology_learning|indirect_evidence_learning,basic_identification|species_card,whole_body:silhouette outline,"backlit subject reduces identification to silhouette characteristics | subjects are backlit, resulting in silhouettes",,,,
pmp-policy-review-0052,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/113198384.jpg,Passer domesticus,House Sparrow,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,beak:yellow gape | back:fledgling plumage texture,,,,,
pmp-policy-review-0302,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/27766970.jpg,Picus viridis,Eurasian Green Woodpecker,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,head:red crown | back:green upperparts | back:yellow rump,,,,,
pmp-policy-review-0378,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/371543431.jpg,Cyanistes caeruleus,Eurasian Blue Tit,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,head:blue crown | breast:yellow breast,,,,,
pmp-policy-review-0099,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/127180953.jpg,Larus michahellis,Yellow-legged Gull,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,whole_body:immature brownish plumage | wing:patterned wing coverts,Juvenile gulls of the Larus michahellis complex can be difficult to distinguish from similar species without specific geographical context,,,,
pmp-policy-review-0207,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/191535445.jpeg,Columba palumbus,Common Wood-Pigeon,feather,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,,basic_identification|confusion_learning|species_card,feather:feather structure and coloration,Subject is indirect evidence (feather). | Full identification is limited by lack of context and size reference. | feather identification requires specific comparison to known specimen reference collections,,,,
pmp-policy-review-0153,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/152039289.jpg,Passer domesticus,House Sparrow,dead_organism,profile_valid,field_observation|indirect_evidence_learning,confusion_learning|morphology_learning,basic_identification|species_card,whole_body:overall skeletal structure | beak:beak shape,specimen is a skeleton/carcass | identification is challenging due to decomposition | specimen is in a decomposed state,,,,
pmp-policy-review-0351,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/34441531.jpeg,Hirundo rustica,Barn Swallow,nest,profile_valid,field_observation|indirect_evidence_learning,,basic_identification|confusion_learning|morphology_learning|species_card,nest:mud cup nest construction,only nest is visible; bird is absent | indirect evidence,,,,
pmp-policy-review-0395,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/398949252.jpeg,Sylvia atricapilla,Eurasian Blackcap,dead_organism,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,confusion_learning,basic_identification|species_card,head:distinctive brown crown | back:plain brownish-grey back,subject is a deceased bird,,,,
pmp-policy-review-0220,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/205550561.jpg,Turdus philomelos,Song Thrush,dead_organism,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,confusion_learning,basic_identification|species_card,breast:spotted breast pattern | belly:spotted flank/belly,Subject is deceased.,,,,
pmp-policy-review-0164,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/158837433.jpeg,Columba palumbus,Common Wood-Pigeon,feather,profile_valid,field_observation|indirect_evidence_learning,morphology_learning,basic_identification|confusion_learning|species_card,feather:grey coloration,indirect evidence | feather only | feather only; specific identification is difficult without more context,,,,
pmp-policy-review-0252,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/252411697.jpg,Dryocopus martius,Black Woodpecker,habitat,profile_valid,field_observation|indirect_evidence_learning,,basic_identification|confusion_learning|morphology_learning|species_card,habitat:woodpecker foraging damage,"indirect evidence; identification based on foraging sign | indirect evidence only, typical of large woodpecker activity",,,,
pmp-policy-review-0195,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/18272669.jpg,Larus michahellis,Yellow-legged Gull,multiple_organisms,profile_valid,field_observation|morphology_learning,basic_identification|confusion_learning|indirect_evidence_learning,species_card,wing:juvenile wing coverts | beak:bill shape,intense interaction makes precise feather count difficult,,,,
pmp-policy-review-0021,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/108990786.jpeg,Parus major,Great Tit,nest,profile_valid,indirect_evidence_learning,field_observation,basic_identification|confusion_learning|morphology_learning|species_card,nest:nest structure,indirect evidence; nest is partially obscured by twigs and leaves | identification is speculative without bird presence | indirect evidence only; nest identity cannot be confirmed from this view,,,,
pmp-policy-review-0126,high,complex_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/13785358.jpeg,Turdus philomelos,Song Thrush,partial_organism,profile_valid,field_observation,confusion_learning|morphology_learning|indirect_evidence_learning,basic_identification|species_card,unknown:snail shells smashed by thrush anvil,"Indirect evidence only; identifies the foraging behavior of Turdus philomelos. | Evidence is a Song Thrush anvil/feeding site, not the bird itself.",,,,
pmp-policy-review-0253,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/254172262.jpeg,Falco peregrinus,Peregrine Falcon,unknown,profile_valid,,,basic_identification|field_observation|confusion_learning|morphology_learning|species_card|indirect_evidence_learning,,"The image contains no biological subject. It shows a metal sculpture/logo of a lion on a building facade. | The image depicts an architectural feature/logo on a building, not an organism.",,,,
pmp-policy-review-0340,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/31534282.jpg,Coloeus monedula,Eurasian Jackdaw,whole_organism,profile_valid,field_observation|species_card,basic_identification|confusion_learning|morphology_learning,,whole_body:overall dark coloration and shape,Subject is small in frame | Subject is somewhat distant | small size in frame | lack of detail for definitive ID,,,,
pmp-policy-review-0181,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/174094536.jpeg,Pica pica,Eurasian Magpie,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,whole_body:black and white plumage | tail:long tail,,,,,
pmp-policy-review-0092,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/12496624.jpg,Columba palumbus,Common Wood-Pigeon,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,neck:white neck patch | back:greyish-blue back,viewed from behind | rear angle limits visibility of breast and facial details,,,,
pmp-policy-review-0136,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/141142367.jpg,Dendrocopos major,Great Spotted Woodpecker,whole_organism,profile_valid,field_observation|confusion_learning,basic_identification|morphology_learning|species_card,,wing:black and white wing pattern | head:red patch on head,photographed through a screen | significant distance | distance to subject | image resolution | window obstruction,,,,
pmp-policy-review-0006,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/10333212.jpg,Accipiter nisus,Eurasian Sparrowhawk,whole_organism,profile_valid,basic_identification|field_observation|morphology_learning|species_card,confusion_learning,,whole_body:slender raptor build | back:accipiter shape,image resolution limits fine feather detail identification | distance and lighting conditions limit detail,,,,
pmp-policy-review-0120,medium,field_observation_vs_identification,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/134612467.jpeg,Turdus philomelos,Song Thrush,whole_organism,profile_valid,field_observation|species_card,basic_identification|confusion_learning|morphology_learning,,breast:spotted breast pattern | whole_body:overall thrush shape,long distance to bird limits diagnostic visibility | subject is quite distant | low resolution prevents identification of fine plumage details,,,,
pmp-policy-review-0224,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/217458596.jpg,Turdus philomelos,Song Thrush,dead_organism,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,confusion_learning,basic_identification|species_card,breast:spotted breast pattern | back:brownish dorsal coloration | beak:beak shape,subject is deceased,,,,
pmp-policy-review-0156,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/153104665.jpg,Athene noctua,Little Owl,whole_organism,profile_valid,basic_identification|field_observation|morphology_learning|species_card,confusion_learning,,whole_body:compact owl silhouette | back:spotted plumage pattern,Image is grainy due to low-light conditions. | low light conditions | night photography,,,,
pmp-policy-review-0072,high,indirect_evidence,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/12159188.jpg,Sturnus vulgaris,European Starling,habitat,profile_valid,indirect_evidence_learning,,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,habitat:bird feeder habitat,No organism present; image serves as environmental context only. | The media depicts a habitat/feeding station only; no bird is present.,,,,
pmp-policy-review-0386,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/382696152.jpg,Apus apus,Common Swift,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|species_card,morphology_learning,,"wing:sickle-shaped wing profile | tail:short, forked tail","Subject is heavily silhouetted due to backlighting. | distant shot against bright sky, silhouetted",,,,
pmp-policy-review-0070,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/120221697.jpg,Hirundo rustica,Barn Swallow,whole_organism,profile_valid,,field_observation|confusion_learning|morphology_learning,basic_identification|species_card,tail:forked tail,Subject is too small and distant for high-confidence identification via image alone | Extremely distant subject | Low resolution,,,,
pmp-policy-review-0017,low,general_policy_check,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-pmp-policy-broader-400-20260504/images/108788210.jpeg,Turdus philomelos,Song Thrush,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|species_card,morphology_learning,,breast:spotted breast | back:brown upperparts,subject is small and distant in frame | small subject size in frame,,,,
